"episode-number","episode-title","air-date","act-number","act-name","speaker-role","speaker-name","time-start","speaker-text"
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Different Voices","00:00:00.62","From PRI, Public Radio International. From PRI, Public Radio International. From PRI, Public Radio International. Public Radio. Public-- Radio International. Radio International. One more time."
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Ira Glass","00:00:13.37",""
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Ira Glass","00:00:28.54","A few years ago, I was putting together a story about a high school senior prom. And after the prom, I tagged along with two couples in a Ford Tempo, as they drove around, going to parties, talking, and joking, and singing along with the radio. We drove to pick up a friend of theirs at her house, but all the lights at her house were off, and nobody seemed at home."
"14","Accidental Documentaries","1996-02-21","1","Prologue","subject","Girl 1","00:00:49.56","Wait, this isn't her house. This isn't her house."
"14","Accidental Documentaries","1996-02-21","1","Prologue","subject","Girl 2","00:00:55.00","Yes, it is. Her car's right there."
"14","Accidental Documentaries","1996-02-21","1","Prologue","subject","Girl 1","00:00:56.47","Really? I don't remember this being her house. Is it?"
"14","Accidental Documentaries","1996-02-21","1","Prologue","subject","Boy","00:01:02.13","You guys have been friends for such a long time, you don't even know where her house is, man."
"14","Accidental Documentaries","1996-02-21","1","Prologue","subject","Girl 1","00:01:05.51","Hey, hey, this is her new house, all right?"
"14","Accidental Documentaries","1996-02-21","1","Prologue","subject","Boy","00:01:07.44","All right?"
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Ira Glass","00:01:09.62","A word now about doing documentary stories. When you're doing this kind of story, this is pretty much exactly the kind of moment that you dream of. Everybody's acting the way they act when there's no tape recorder present. It's intimate. It's alive."
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Ira Glass","00:01:22.79","You feel like you're hearing these people as they really are even though there is a tape recorder and a boom microphone, a huge one, a foot and a half long, and a stranger. And to get to this point, you have to spend hours with people, get them used to you, get them to the point where they're actually bored with being recorded. And I tell you all this really only as a prelude to telling you this story."
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Ira Glass","00:01:50.32","A while back, a guy named Joe Silovsky bought some old reel-to-reel tapes at a Salvation Army thrift store. And he took them home. And one of those tapes had exactly this quality tape on it, like in a really good documentary, that is, the people spoke the way that they really talk in real life. It was intimate. And it completely revealed what the people speaking were like."
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Ira Glass","00:02:20.73","And hearing that tape gave us the idea for today's program, that we're going to devote the whole show to three stories made out of found tape like this. Accidental Documentaries, we call them."
"14","Accidental Documentaries","1996-02-21","1","Prologue","host","Ira Glass","00:02:35.54","Act One takes place 30 years ago in Michigan. Act Two happens 40 years ago in my hometown, Baltimore. And Act Three happens 25 years ago here in Chicago. Stay with us."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","host","Ira Glass","00:02:56.71","Act One, Berrien Springs, Michigan. The tape that Joe Silovsky found is from 1967. It came in one of those boxes. I don't know if you remember these boxes that reel-to-reel tape came in in the '60s, and '70s, and '80s. And it fits two hours of tape. It's not that big. It's nine-inch reel of tape, two hours of tape."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","host","Ira Glass","00:03:19.31","And the box had stamps all over it, and addresses written, and crossed out, and written. And what it was was a letter on tape between this family in Michigan, the Davis family, and their son, Arthur, Junior, who was in medical school in Loma Linda, California. And the tape is interesting because it documents pretty thoroughly life in this one American family."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:03:48.00","Hello, son. There isn't much news. Grace was over one day. And she was feeling so bad about her marital situation. So I gave her this reality therapy book."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:04:01.30","And by the way, I sent you one, son. You'll be getting it in the mail soon. I had it sent right direct to you. It isn't that I think you need it. It's just a new insight on mental health, mental illness, that I think is good."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:04:17.35","I probably told you about the chapter I read to Jimmy when we were riding to Mrs. Lester's voice lesson. And it was a chapter on nagging. Smart wives don't have to nag. And it was so interesting. Halfway through it, I realized that this was written for me because I do nag quite a bit. And here, it brought out that sometimes a person nags because they want to feel superior."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:04:56.56","Each time they-- well, here, I'll read it, son. ""If you stop to think about it, you know perfectly well that this sort of nagging, that means nagging to get things done and things, isn't correcting the evil of what you complain. It's only making you feel important, virtuous, and superior. So for goodness sake, find some more constructive way of enhancing your feeling of virtue if it's so badly in need of being enhanced."""
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:05:31.79","Daddy has been very, very busy working in the basement. One of the machines is broken down. And true to form, it's taken him a long, long time to fix it. We're behind as usual on strips. Jack goofed, I guess, in his order of extrusions. And we are out of extrusions and won't be having them until Friday."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:05:54.77","I made $50 in one week and a half. That's when I bought-- I bought your suit, and paid my tithe, and things like this. Well, son, I'll say goodbye. But thank you for your words of advice as far as my resting. And thank you for being concerned about my welfare."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:06:10.40","I really have gotten along quite well recently. I didn't feel too bad of depression last month. Well, here I go. We'll see you again. And I'll let someone else talk on the tape. Bye-bye."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:06:23.26","Hello, Joe. How do you like this big tape anyhow? Isn't this pretty neat? I don't know if we ever get the thing filled up. And if we do get it filled up, I don't know whether you'll ever have the time to listen to it or not."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:06:36.09","Things are surely busy around here. They're really popping. I didn't get to bed 'til after 1 o'clock though. I was working downstairs, and I had work ready to take up to Jack's today, so we can get paid. We don't have any strips right now though. I guess I got a call for supper, so I'll come back later."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:06:55.95","I heard a little story that I thought I would tell you, Joe. Mom reminded me at the supper table. I just got back from eating supper. There were a couple out. They were getting acquainted, shall we say, doing a little French kissing. And the fella said, ""Oh, I think I got your gum."" And she said, ""No."" She said, ""I got a bad cold."" So I'll leave you with that little thought for the time being."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:07:39.46","Hi, Joe. I just got through talking to you on the phone. Little Kenny [? Jacques, ?] who I don't know if you remember him or not, but he's Quint [? Jacques's ?] oldest son, got married last March. And his girlfriend was here in school. And they were intending to keep it quiet until after school was out, but I guess he's pregnant now. So I suppose when you fool around, and do things like that, why, I suppose that's the price you're prepared to take. But I guess he's still in the Army."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:08:10.09","I saw him tonight in the drive-in. They look real happy together. She seems like a real nice little girl, almost too nice for him. He's a real nice fella, but he's quite mentally retarded, I think. At least, he may not be mentally retarded, but he has an awful time in school trying to figure out his ABC's. Anyway, that's the way it goes."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:08:34.31","And she seems to be real happy with him. She went with Carl Hamel before. And she seems like a good Christian girl. She's got one hand that's deformed. I suppose that makes her feel like it'd be awfully for her to get anybody. So she probably thought she'd take whatever she could get."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:09:03.13","It was interesting as we visited Aunt Menta and Uncle Wendall's this weekend. We just had a real nice time. But I felt a little odd about going and suggested in a very small way that Art ought to call Menta. But sometimes he gets real negative about my suggestions. And I realized that it's because many times I perhaps force myself on him. So I didn't say anything until about 50 miles before we got there."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:09:34.39","I really felt as though Menta should know we were coming. I should have written and told her. But I've left the communication with his family to Daddy. Well, he got a little bit vexed, and jumped out of the car, and went to the telephone, saying, ""I hope you're satisfied now."" But when he came back, Menta hadn't realized we were coming. And we were all grateful that we'd made the telephone call even though I didn't want to be right and say, ""I told you so."" Because it wouldn't have been nice to have walked in on them at a quarter to 10:00 at night."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:10:08.53","It was interesting how genuinely they accepted us. I don't know if I could be that gracious or not. Although they live such different lives. They had no plans for the weekend. We came. This was fine. And we ate what they had. And this was it."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:10:25.62","But I think of if the situation were reversed and Ment and Wendall dropped in on us, how many times we have company over the weekend, we have to go to functions, and we have music lessons, and things like this, and our lives are so completely different. It's interesting that we just spent all day sitting without doing anything at all. And this is so unusual for us. And even though I don't suppose I could do it every week, it did seem good for one week, just to sit, and look at each other, and talk. Ment and Wendall are sweet people really. It's very difficult for me not to judge a person's Christian experience."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:11:13.15","Darlene was voicing her experience last night. Art was a little bit perturbed because her skirt was too short. And Darlene was telling me that, really, she, in a way, resented Daddy's religion because it seemed to be so void of actual feeling and love. And I felt rather bad this morning. I got up to have my worship. I neglected it over the weekend."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:11:42.37","And I got up to have my worship. And as I did, Daddy came in and sat down beside me. And I felt rather funny because I really feel that he does this as a duty more than anything else. And when I have my worship, I feel communication with God, and I enjoy what I'm reading. And when Daddy came in, there was just a-- I don't know. I suppose you'd call it an inner resentment."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:12:15.49","I didn't know quite what to do. I was right in the middle of reading a chapter. So for the first time in my life, rather than to try to anticipate what he wanted and his needs, I just let him sit there. And I thought if he would say to me, ""Could I have worship with you?"" it would be fine. But he didn't. So I just continued reading and didn't say anything at all. He sat there for a little while, and then he left."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:12:53.48","Hi, Joe. That was sure nice to hear from you the other night. What I wanted to talk to you about tonight was I wanted to tell you about our power feed. This power feed that I made, we got that going now. So I got a hydraulic cylinder from Bimba, put that on there, and put some microswitches on there. And as the thing goes up, it pulls the chain around the sprocket."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:13:22.83","I think that if Daddy feels a spiritual lack and feels a need, then he, himself, ought to be the aggressive one and fulfill this need in his own way."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:13:35.29","So put that sprocket on there. And as the cylinder goes in, it pulls the chain that goes around the sprocket, it pulls it up and pushes the drill down."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:13:49.28","I would love to begin to have worship with Daddy, together, as husband and wife."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:13:54.97","And then when it gets to the other microswitch, why, it comes back. And as it comes back, we've got weights on the other side of the sprocket, pulling the chain in the other direction."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:14:03.35","We certainly have begun to enjoy many relationships that are very, very fulfilling in our marriage. But as far as this worship is concerned, it seems as though I'm always the one that has to make the initiative, plunge and say, ""Well, come, have worship with me,"" and select things that are inspiring. And I think this is wrong."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:14:27.85","And this new compressor works like a dream. It really is doing a good job for us, which makes us very happy. We're real happy with the results we're getting so far."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:14:38.43","I was reading an article last week, where we, so many times, try to fit people into our own pattern rather than to understand their background and appreciate their own pattern. And I think that he ought to fulfill his spiritual needs in his own way."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:14:59.66","Ken is going to come over. Ken Scholski. I don't know whether you know him or not. But he does real good at drilling the big holes. So he's going to come over and drill a couple hundred of the strips with the big holes for us. So we can at least get into production again by tomorrow night."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:15:15.58","Because I don't really know the depths of his spirituality and his basic needs."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:15:25.33","This one is practically foolproof, as long as we don't put too much air pressure on it and drive it too hard."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:15:30.12","So because I have no way of knowing, I'm going to stop worrying."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Father","00:15:34.57","We've been drilling some extrusions, 18-inch extrusions on the press with two holes at a time. It's been going pretty good."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:15:41.71","Daddy's calling, so bye-bye, son. And I'll see you later. I just had to tell you, son. Daddy screamed and hollered. You may have heard him over the tape, ""Honey!"" And I was right in the middle of a sentence to you, so I didn't go."
"14","Accidental Documentaries","1996-02-21","2","Act One. Berrien Springs, Michigan","subject","Mother","00:15:53.16","But when I ran down, here, he has this power feed on. You know Daddy. He is very, very slow at what he does. And everyone has about lost their temper at him because they've tried so hard to be patient. And day by day, they've hoped this thing gets fixed."
