"episode-number","episode-title","air-date","act-number","act-name","speaker-role","speaker-name","time-start","speaker-text"
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:00:01.85","What will make you change? For most of us, it is not self-help books, courses at the learning annex. We are immune to any number of long, sincere talks with our friends about the problems that do not go away. We are immune to resolutions made at the last minute of the last hour of each December 31."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:00:26.28","Consider the story of Evan Harris. She didn't like her job. She wanted to leave her boyfriend. She was living in a city she didn't like."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:00:34.34","I was well-entrenched in my life and pretty much sleepwalking."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:00:40.83","And weeks went by. And months went by. And then one day, she and a coworker were in the mail room at the extremely low-level office jobs that they held, and there amongst the envelopes, stacks of envelopes everywhere, they started talking. And that's where it happened to Evan Harris."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:01:07.20","You know how sometimes the smallest thing can end up changing your entire life? A casual comment by somebody that you barely know, an ad you happen to spot in the newspaper, a chance encounter, one little moment. And later when you look back, you realize, oh, that was it. That was the moment. That was the pivot point around which my entire life turned and spun and went into a totally different direction. And you know you don't get to choose. You do not get to choose this pivotal moment. And sometimes, as anybody over a certain age can tell you, the pivotal moment can be kind of stupid."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:01:57.81","In Evan Harris's case, it was about as unlikely as they come."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:02:02.55","We were doing some sort of menial labor. She was doing a mailing, and I was putting some stuff in alphabetical order. And I said to her, ""Shouldn't the letter Q be further toward the back of the alphabet?"""
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:02:17.44","That's it. With the utterance of those words-- let me just play this back for you. Because these are words which changed an adult human life. Here we go."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:02:29.50","""Shouldn't the letter Q be further toward the back of the alphabet?"""
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:02:33.85","With those words, Evan Harris's life took a 180 degree turn."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:02:49.16",""
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:03:05.65","Coming up, writer Sandra Tsing Loh, Lisa Buscani, and others. Stay with us."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:03:22.12","So Evan Harris and her friend and coworker, Shelley Ross, were at this job and they started talking about the letter Q. And it was the kind of conversation you can only really have at a job that does not require total concentration. So you're sorting mail, you're frying burgers, you're doing whatever. And so they're talking about the letter Q."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:03:44.64","And again, remember, this is the pivotal conversation in a person's life. They're talking about the letter Q and they get to talking about where it should be in the alphabet. And in their minds, Q does not belong in the middle of the alphabet where it is, with the hoi polloi of the alphabet. Your Ms, your Ns, your Ps. Letters that will just join any word for the asking. N is in letters-- you don't even hear it. Damn. What's it doing in there?"
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:04:16.02","Q, in their mind, has more character. Q, in their mind, doesn't take anything off of anybody. It makes demands and it sees that they are met. What other letter has an adjunct, a bodyguard with it, carried into every word? In their mind, Q belongs at the end of the alphabet, with your Xs, your Ys, your Zs. Letters that do not care what anybody thinks of them and that don't just join up to any word."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:04:44.94","And Q, of course, is the first letter of the word ""quit."" You can't spell ""quit"" without Q, at least on public radio you can't. And Evan Harris and her friend Shelley Ross started talking about what it means to be able to quit something. What are the qualities that you need? And they decided the qualities were that kind of fierce independence that, in fact, they saw in the letter Q. And they talked about quitting for a long time that day."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:05:13.68",""
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:05:33.87",""
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:05:48.96","Recently I heard about the butter sculptures at the Minnesota State Fair. These are these big sculptures made entirely out of butter. The way it was explained to me was that they are often of the queen for the day. That some teenage girl will be selected as the fair queen that day, and then her bust will be done in butter."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:06:17.09","And it got me to thinking, what if my muse had called me to work in butter? What if my muse said, you will now represent the human form in butter? What if your muse calls you to do something hokey and out-of-date, like singing in coffeehouses or I don't even know. The point is we cannot choose who we fall in love with. We cannot choose what we are interested to write about. We cannot choose our muse."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:06:50.20",""
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:07:10.25","It really came all at once. I mean, I really sat down to start writing about it, and it really came out. And it seemed to have already been formed."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:07:20.85",""
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:07:49.94",""
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:08:09.67","The euphoria of the quit. Quitting euphoria is an incredible thing. I don't know how much you have quit, but there is an incredible charge to quitting that is like a drug. It's like being in love kind of, except it's being in love with your decision."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:08:30.96","Evan Harris was writing about quitting, and thinking about quitting, and gathering the strength to quit her job and her boyfriend and her city, which, by the way, she did. And at some point in this entire process, her view of the world began to change. Quits and potential quits seemed to be everywhere. She would go out with a friend for coffee and, of course, talk about all this quitting business that she was thinking about all the time. And then this friend, no matter who it was, would come out with some story about something that he or she wanted to quit. Quitting started to seem like the engine that made everything in the world go round."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:09:11.18","The way I see it in thinking about my own life, I see it as being framed and the narrative of it being pushed along by quitting, by quits. So that my first big quit was to leave the college that I was going to, and I moved to New York City. And then my next big quit was to quit the graduate program that I was in, and then I fell into this job. And so now I have nothing left to quit. I mean I've quit my boyfriend. I've quit my city. I've quit my job. And I have nothing left to quit. And so really now there's nothing to do but build things up again. Do you see what I mean?"
"7","Quitting","1995-12-29","1","Prologue","interviewer","Ira Glass","00:09:51.64","Yeah, but you say that as if you're just building them up for what will be the central fact of your life, which is then you're going to quit them."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:09:58.70","That's right. The way I see it is that there's sort of like two basic, big, important concepts. OK? And the first one is that nothing lasts forever. There is nothing that you can do that you can keep on doing forever. Nothing. That's it. Period. End of story. And then the other big one is that you have to be doing something. So my feeling is it's better to willfully quit whatever it is and then go on to the next thing that you have to be doing, because you have to be doing something, than to just kind of let things fall apart."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:10:41.70","The quitting cycle. In everybody's life, there is something of a quitting cycle. So you can talk about adolescence being a time where people quit listening to their parents. And then maybe in people's mid-to-late 20s, they start quitting places or even quitting people. And then later on in mid-life, I think that there's a little bit of a quitting thing going on, which some people call mid-life crisis, and I would probably call it the mid-life quit. And then for older adults, I think they do quite a bit of quitting, too. I think that they basically quit giving a damn what people think of them and quit worrying about certain things."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:11:33.07","There's the quitting cycle and then there's the nature of quitters, which I think is important. I don't think quitters are lazy people necessarily. I mean some quitters are probably lazy, but I don't think that the essential nature of a quitter is to be lazy. I think that the essential nature of a quitter is to be able to cut their losses and move on. Quitting is about being willful. Quitting is about having one's own volition to do whatever."
"7","Quitting","1995-12-29","1","Prologue","interviewer","Ira Glass","00:12:09.11","Can I ask you to reflect on why it is that you think the word ""quitter"" has such a pejorative connotation in our culture? Because I think of the last time I saw the word ""quitter"" and it was a cover of a magazine with Ross Perot on it, when he pulled out of the presidential race. And the word ""quitter"" was above him. Just the notion of being a quitter was so shameful. That was the message of it."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:12:34.38","The word ""quitter"" does have a negative connotation, and that's something that I would really like to change. I would really like to kidnap that word. I see quitters as people who have volition. Quitters never win and winners never quit, and that's completely untrue. I mean really the more things you quit, the more things you're going to do. And the more things you do, the more potential you have for success."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:13:12.65",""
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:13:43.42","I'm just going to stop that right there. Are you following this particular point? Let's review those steps again, OK? The anatomy of a quit. The quitter thinks about it. Step two now. The quitter thinks about it some more. To me this indicates somebody who actually has been in that position. You don't just think about it. It goes on for a really long, long time before you actually then do the quit. Let's review."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:14:12.06","That the quitter thinks about it. The quitter thinks about it some more. The quitter quits. And then there's the post-quitting stuff."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:14:26.05","Now, you know, we have all met in our lives people who have come to see the world through a single idea, people for whom all interaction can be explained by some scheme. And it could be a big idea. It could be the laws of supply and demand, or Fundamentalist Christianity, or structuralist linguistic theory. Or it could be a small idea. The need for everybody to do aerobic exercise on a regular basis, or the danger of fluoridation, or CIA conspiracies dating back to the Bay of Pigs."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:15:02.91","Who amongst us has not had a conversation on a train, or a plane, or at a party, or an in-law's house, where some earnest-faced person, full of evidence and theory, expounds at length on an idea like, if everyone on the earth would just stand on his or her head for an hour a day, there would be world peace?"
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:15:30.78","And if you talk to Evan Harris for a while, she'll tell you about the great quits which have driven world history, how, in fact, all the wars and strife of the millennia are, in fact, better understood as a series of quits. And as some people will do when they become obsessed with a single topic, she sometimes delves into quitting issues that are so esoteric, so erudite, that it would be hard, I think, for anyone else to not just understand them, but to care about them."
"7","Quitting","1995-12-29","1","Prologue","host","Ira Glass","00:16:06.11","For example, she was trying to figure out a system for how to rate the importance of various types of quits. She actually created a mathematical model to do that that she was working on. And during our interview, she repeated several times that quitting had a life of its own, a life separate from any of the quits that you might make or I might make or other people make. In her mind, it seemed that quitting-- was almost like a living thing, separate from the actions of human beings."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:16:43.73","Quitting itself has an identity, and your particular quit, one quitter's particular quit, fits into the world and all the other quitters in the world. And you have to remember that your quit is going to influence another person's quit, potentially. The point of quitting is to move in the world and to get bigger and bigger as a person. God damn. Sometimes I just start to sound like a nut basically about this. I mean, what am I talking about? What am I talking about? You have to understand. This is so on my mind. I think about this all the time. I think about this all the time. I'm thinking about getting up and walking out of this room right now. I really am."
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:17:46.48","Quitting is not just about how it feels to yourself. No, I don't think that's true. I don't think that's true. And I think that people have to see themselves in a swim that way."
"7","Quitting","1995-12-29","1","Prologue","interviewer","Ira Glass","00:18:02.42","In a swim of quitting?"
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:18:03.86","In a swim of quitting."
"7","Quitting","1995-12-29","1","Prologue","interviewer","Ira Glass","00:18:06.06","In a swim of quitting with other swimmers, with other people who are quitting?"
"7","Quitting","1995-12-29","1","Prologue","subject","Evan Harris","00:18:08.92","Right."
"7","Quitting","1995-12-29","1","Prologue","interviewer","Ira Glass","00:18:14.06","Evan, I have to say that you're saying people should be aware of themselves as being part of a world of quitting, and a world of people who are quitting, and a whole idea of the notion of quitting. But I have to say, in all of my life, you are the only person I've ever met who thinks of it that way."
